                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     48,                0.88214,                 7.1802,                0.38659,                0.75852,                 1.0599,                0.84681,                0.90464,                0.90304,                0.71218,                0.50702,                0.63579,                0.43921,                0.15541,                0.79452,                 8.1021,                0.09049,                 0.6369,                0.99867,              0.0010694,              0.0010694,              0.0010694
                     49,                0.87292,                 6.9182,                0.36321,                 0.7216,                 1.0421,                0.81329,                0.96364,                0.84401,                0.66126,                0.55148,                0.63636,                0.48253,                0.17592,                0.80774,                 8.0433,                 0.0907,                0.63188,                 1.0121,              0.0010496,              0.0010496,              0.0010496
                     50,                0.85133,                 6.9645,                 0.3557,                0.72435,                 1.0399,                0.82242,                0.92727,                 0.8574,                0.67838,                0.58838,                 0.6498,                0.55299,                0.19859,                0.84865,                 8.0928,                0.09601,                0.60878,                 1.0231,              0.0010298,              0.0010298,              0.0010298
                     51,                 0.8102,                 6.7128,                0.36135,                0.70368,                 1.0142,                0.85459,                0.90909,                0.85415,                0.66408,                0.58449,                0.61818,                0.49579,                0.18148,                0.82174,                 8.1422,                0.09282,                0.59815,                0.99432,                0.00101,                0.00101,                0.00101
                     52,                 0.8064,                 6.9578,                 0.3487,                0.69331,                 1.0076,                0.81016,                0.94545,                0.86082,                0.68141,                 0.6086,                0.69091,                0.62763,                 0.2305,                0.84695,                 7.9937,                0.08782,                0.62725,                 1.0266,              0.0009902,              0.0009902,              0.0009902
                     53,                0.82949,                 7.3046,                0.37171,                0.70497,                 1.0252,                0.81102,                0.94545,                0.87598,                0.69612,                 0.5932,                0.67273,                 0.5956,                0.22784,                0.83291,                 7.9277,                0.09066,                0.61154,                 1.0163,              0.0009704,              0.0009704,              0.0009704
                     54,                0.83813,                 6.8465,                0.37876,                0.73228,                 1.0426,                0.81129,                0.93807,                0.84983,                0.68128,                0.61695,                0.64433,                0.52572,                0.18948,                0.82593,                 7.9996,                0.09167,                0.62451,                 1.0114,              0.0009506,              0.0009506,              0.0009506
                     55,                0.80405,                 6.8058,                0.37664,                0.69308,                 1.0233,                0.82124,                0.94545,                0.87141,                0.69556,                0.60862,                0.67273,                0.56232,                0.21769,                0.80491,                 7.8838,                0.10302,                0.58549,                0.98581,              0.0009308,              0.0009308,              0.0009308
                     56,                0.84599,                 7.1871,                0.39356,                0.71996,                  1.041,                0.82464,                0.96364,                0.87659,                0.69465,                0.64608,                0.59748,                 0.5491,                0.18885,                0.81016,                 7.9296,                0.10295,                0.57536,                   1.01,               0.000911,               0.000911,               0.000911
                     57,                0.82784,                 6.9412,                0.38038,                0.71092,                  1.034,                0.79028,                0.95924,                0.87871,                0.69077,                 0.6354,                0.63636,                0.54171,                0.21905,                0.82259,                 7.9921,                0.09984,                0.59231,                 1.0183,              0.0008912,              0.0008912,              0.0008912
                     58,                0.82411,                 6.4997,                 0.3709,                0.70729,                  1.036,                0.80211,                 0.9581,                0.85678,                0.67743,                0.56362,                    0.6,                0.47108,                0.18329,                0.82029,                 7.8897,                0.10038,                0.59743,                 1.0101,              0.0008714,              0.0008714,              0.0008714
                     59,                0.80905,                 6.7898,                0.34792,                0.69355,                 1.0188,                0.79605,                0.94545,                0.86169,                 0.6856,                0.52732,                0.65455,                0.53686,                0.21572,                0.80149,                 8.0742,                 0.0985,                0.58588,                0.99666,              0.0008516,              0.0008516,              0.0008516
                     60,                0.81356,                 7.1732,                0.38089,                0.68335,                 1.0267,                0.80292,                0.94545,                 0.8552,                0.67677,                0.65013,                0.56364,                0.56163,                0.22578,                0.87172,                 7.9468,                0.08896,                0.62032,                 1.0297,              0.0008318,              0.0008318,              0.0008318
