                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     32,                0.96479,                  6.086,                0.45327,                0.85239,                 1.0726,                0.77901,                0.72727,                0.70777,                0.51423,                0.53226,                0.54545,                0.36179,                0.09809,                 0.9959,                 5.9165,                0.19085,                0.86117,                 1.0749,              0.0015908,              0.0015908,              0.0015908
                     33,                0.92643,                 6.5645,                0.44431,                0.86121,                 1.0639,                0.84584,                0.67273,                0.72214,                0.55152,                0.57855,                  0.649,                 0.4755,                0.19599,                0.99621,                 5.7466,                 0.1847,                0.88492,                 1.0898,              0.0015776,              0.0015776,              0.0015776
                     34,                0.97954,                 6.4149,                0.43572,                0.85877,                 1.0926,                0.86129,                0.69091,                0.77987,                0.57495,                0.53835,                0.69091,                0.52728,                0.18588,                 1.0746,                 5.3417,                0.16619,                 0.7198,                 1.1648,              0.0015644,              0.0015644,              0.0015644
                     35,                0.95642,                 6.4602,                0.42372,                0.80431,                 1.0675,                 0.7865,                0.74545,                0.76623,                0.58146,                0.60591,                0.74545,                0.58039,                0.25527,                0.90429,                 5.3412,                0.16453,                0.68078,                 1.0554,              0.0015512,              0.0015512,              0.0015512
                     36,                 1.0118,                 6.1376,                0.44692,                0.88694,                 1.1112,                0.83558,                0.73928,                0.77171,                0.59556,                0.64467,                0.65455,                0.54933,                0.19585,                0.87591,                 5.3894,                0.18343,                0.68534,                 1.0572,               0.001538,               0.001538,               0.001538
                     37,                0.91934,                 6.2496,                0.42422,                0.82427,                 1.0595,                 0.8745,                0.76364,                0.75921,                0.59471,                0.63469,                0.72727,                0.57943,                0.23393,                0.93512,                 5.3785,                0.17295,                  0.788,                  1.113,              0.0015248,              0.0015248,              0.0015248
                     38,                0.95742,                 5.9657,                0.42746,                 0.8615,                 1.0819,                0.87058,                0.73394,                0.76705,                0.58617,                0.64937,                0.63985,                0.54278,                0.21172,                0.96484,                 5.4208,                 0.1795,                0.77636,                  1.045,              0.0015116,              0.0015116,              0.0015116
                     39,                0.93091,                 6.3497,                0.42195,                0.83076,                 1.0733,                 0.7988,                0.74545,                0.72244,                0.55877,                0.66116,                0.70954,                0.58276,                0.25276,                0.83358,                 5.1959,                0.18397,                0.72665,                  1.006,              0.0014984,              0.0014984,              0.0014984
                     40,                0.92864,                 6.1161,                 0.4242,                0.81511,                 1.0626,                0.87146,                0.73972,                 0.7689,                0.59744,                0.64783,                0.70909,                0.59708,                0.24935,                0.88469,                 5.1369,                0.17863,                0.70084,                 1.0059,              0.0014852,              0.0014852,              0.0014852
                     41,                0.93287,                 5.7703,                0.41919,                0.81582,                 1.0724,                0.87132,                0.76364,                0.78422,                0.61535,                0.62348,                0.65455,                0.57381,                0.25886,                0.91718,                 5.0499,                0.16742,                0.68979,                 1.0366,               0.001472,               0.001472,               0.001472
                     42,                0.94336,                 5.9447,                0.41703,                0.83262,                 1.0924,                0.78073,                0.76364,                0.71637,                0.54028,                0.70195,                0.69091,                0.61557,                0.26692,                 0.9534,                  5.044,                0.17584,                0.76137,                 1.0815,              0.0014588,              0.0014588,              0.0014588
                     43,                 0.9384,                 5.9607,                0.40564,                0.83619,                 1.0762,                0.86041,                0.72727,                0.76681,                0.60036,                0.58915,                0.65455,                0.50533,                0.20386,                0.95439,                 5.2029,                0.16891,                0.71341,                  1.084,              0.0014456,              0.0014456,              0.0014456
                     44,                0.96696,                 5.8886,                0.41709,                0.86164,                 1.0838,                0.85581,                0.75549,                0.74823,                0.56105,                0.69288,                0.72727,                0.62123,                0.25643,                0.99028,                  5.209,                 0.1574,                0.78037,                 1.1476,              0.0014324,              0.0014324,              0.0014324
                     45,                0.94834,                 5.9858,                0.41718,                0.83245,                 1.0855,                0.76834,                0.76364,                0.75733,                0.55974,                0.66394,                0.72727,                0.61043,                0.25325,                0.97271,                 5.0763,                 0.1615,                0.74287,                 1.0743,              0.0014192,              0.0014192,              0.0014192
                     46,                 0.9733,                 5.9709,                0.41331,                0.81891,                 1.0741,                0.75282,                0.78182,                0.74217,                0.56397,                0.67977,                0.74545,                0.59658,                0.26836,                0.88054,                 4.9774,                  0.175,                0.73681,                 1.0295,               0.001406,               0.001406,               0.001406
                     47,                0.94403,                 5.9918,                  0.396,                0.79378,                  1.061,                  0.825,                0.74545,                0.77047,                0.58663,                0.66864,                0.78182,                0.64552,                0.25581,                0.87185,                 5.0394,                 0.1757,                0.72183,                 1.0344,              0.0013928,              0.0013928,              0.0013928
                     48,                0.92029,                 5.7509,                 0.3968,                0.81849,                 1.0673,                0.84373,                0.76364,                0.76443,                0.58767,                0.63981,                0.74545,                0.57403,                0.27802,                0.92605,                  5.049,                0.17035,                0.65805,                 1.0569,              0.0013796,              0.0013796,              0.0013796
                     49,                0.90555,                 5.6137,                0.38384,                0.76941,                 1.0495,                0.87671,                0.77583,                0.79556,                0.60331,                0.63743,                0.69091,                0.62606,                0.29983,                0.88144,                 4.8366,                 0.1665,                0.62115,                 1.0453,              0.0013664,              0.0013664,              0.0013664
                     50,                0.86992,                 5.5858,                0.37975,                0.75763,                 1.0373,                0.82658,                0.78182,                 0.7782,                0.60078,                0.71622,                0.68837,                0.62939,                0.33535,                0.85113,                 4.9262,                0.16868,                0.63085,                 1.0051,              0.0013532,              0.0013532,              0.0013532
                     51,                0.87226,                 5.8205,                0.36438,                0.79451,                 1.0354,                0.84898,                0.71559,                0.79183,                0.61674,                0.66152,                0.74624,                0.60363,                0.25311,                0.86137,                 4.8113,                0.17224,                0.65473,                 1.0118,                0.00134,                0.00134,                0.00134
                     52,                0.86054,                 5.7941,                0.37484,                0.77567,                 1.0255,                0.93118,                0.73817,                0.80481,                0.64315,                0.68007,                0.65706,                0.59553,                0.22716,                0.83109,                 5.1365,                0.15818,                0.65708,                0.99531,              0.0013268,              0.0013268,              0.0013268
                     53,                0.89238,                 5.8154,                0.38341,                0.76782,                 1.0338,                0.85461,                0.78182,                0.79715,                0.63293,                0.68154,                0.70909,                0.66147,                0.30672,                0.83658,                  4.787,                0.15434,                0.67403,                0.99249,              0.0013136,              0.0013136,              0.0013136
                     54,                0.91055,                 5.8201,                0.39352,                0.78619,                 1.0586,                0.90872,                0.72408,                0.78995,                0.63263,                0.65574,                0.69091,                0.63579,                0.35968,                0.87718,                 4.5195,                0.13938,                0.63509,                 1.0282,              0.0013004,              0.0013004,              0.0013004
                     55,                0.86862,                 5.6637,                0.38066,                0.77547,                 1.0313,                0.89682,                0.74545,                0.77231,                0.61683,                0.66282,                0.63636,                0.60907,                0.31719,                0.91266,                 4.7794,                0.15016,                0.71667,                 1.0322,              0.0012872,              0.0012872,              0.0012872
                     56,                0.88885,                 5.8921,                0.40067,                0.76984,                 1.0545,                0.89344,                0.74545,                0.78093,                0.60535,                0.69212,                0.69491,                0.65008,                0.26438,                0.92519,                 4.8874,                 0.1516,                0.65686,                 1.0439,               0.001274,               0.001274,               0.001274
                     57,                 0.8669,                 5.6461,                0.37747,                0.74322,                 1.0461,                0.89177,                0.72727,                0.79056,                0.61133,                0.66281,                0.71487,                0.63024,                0.31002,                0.94775,                 4.7935,                0.15487,                0.66627,                 1.0549,              0.0012608,              0.0012608,              0.0012608
                     58,                0.88662,                 5.5646,                0.37716,                0.74933,                 1.0527,                0.85461,                0.72727,                0.77682,                0.60247,                0.73387,                0.70201,                0.64667,                0.31708,                0.92094,                 4.8193,                0.14879,                0.70042,                 1.0822,              0.0012476,              0.0012476,              0.0012476
                     59,                0.86668,                 5.7548,                0.36202,                0.75374,                 1.0455,                0.85449,                0.76364,                0.77958,                0.58944,                0.60358,                0.65455,                0.57504,                0.30713,                0.95687,                 4.7968,                0.13797,                0.69736,                 1.0969,              0.0012344,              0.0012344,              0.0012344
                     60,                0.85772,                 5.7767,                0.38322,                0.75045,                 1.0297,                0.78229,                0.76364,                0.77215,                0.58819,                0.67704,                0.74545,                0.56759,                0.27738,                0.98354,                  4.714,                0.14323,                0.70167,                 1.0895,              0.0012212,              0.0012212,              0.0012212
