                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     50,                 1.2086,                 5.9204,                0.35729,                0.98868,                 1.3864,                 0.8007,                0.87273,                0.80546,                0.32001,                0.60458,                0.55606,                0.41665,                0.23784,                 1.9688,                 7.8347,                0.08276,                0.92797,                 1.6469,              0.0010298,              0.0010298,              0.0010298
                     51,                  1.219,                 5.8152,                0.37275,                0.97139,                 1.3712,                0.78808,                0.98182,                0.85084,                0.52856,                0.55189,                0.52727,                0.39295,                0.24648,                 1.2226,                 7.8436,                0.09169,                0.81492,                 1.2463,                0.00101,                0.00101,                0.00101
                     52,                  1.237,                 5.5277,                0.34751,                 1.0065,                  1.394,                0.80271,                0.98182,                0.86264,                 0.5236,                0.67668,                0.53282,                0.47339,                0.27707,                 1.2295,                 7.7964,                0.08642,                0.75935,                 1.2402,              0.0009902,              0.0009902,              0.0009902
                     53,                 1.2699,                 6.0747,                0.36768,                0.98152,                 1.4332,                0.76772,                0.96364,                0.83993,                0.40286,                0.74563,                0.52727,                0.46935,                0.29037,                 1.5701,                 7.5954,                 0.0761,                0.83631,                 1.4106,              0.0009704,              0.0009704,              0.0009704
                     54,                 1.2262,                 5.5774,                0.37531,                 1.0166,                 1.4161,                0.77228,                0.96364,                0.84491,                0.44251,                0.57505,                0.51677,                0.44121,                0.26806,                 1.6074,                 7.7286,                0.09425,                0.85277,                 1.4705,              0.0009506,              0.0009506,              0.0009506
                     55,                  1.261,                 5.5476,                0.36607,                0.98281,                 1.4167,                0.76362,                0.90909,                0.77892,                0.39774,                0.62186,                0.56364,                0.45027,                0.27492,                 1.5457,                  7.829,                0.08627,                0.77655,                 1.4518,              0.0009308,              0.0009308,              0.0009308
                     56,                 1.2383,                 5.9911,                0.39812,                0.97478,                 1.4036,                0.81634,                0.96364,                0.85152,                0.40266,                0.54002,                0.49094,                0.37429,                0.22975,                 1.6424,                 7.7793,                0.09306,                0.78588,                 1.4692,               0.000911,               0.000911,               0.000911
                     57,                  1.239,                 5.7832,                0.36778,                  1.005,                 1.3992,                0.80002,                0.92727,                0.85491,                0.53722,                0.60887,                0.56364,                0.48728,                0.27883,                 1.2021,                 7.6664,                0.09706,                0.75459,                 1.2106,              0.0008912,              0.0008912,              0.0008912
                     58,                 1.2773,                 5.2204,                0.35312,                 1.0434,                  1.444,                0.77302,                0.94545,                0.86211,                0.57814,                0.66908,                0.47273,                0.42212,                0.26886,                 1.1706,                 7.8932,                0.08714,                0.73779,                  1.206,              0.0008714,              0.0008714,              0.0008714
                     59,                 1.2141,                 5.4415,                0.34569,                0.98062,                 1.3851,                0.80607,                0.96364,                0.86868,                0.55422,                0.65656,                0.54545,                0.43636,                0.27003,                 1.1855,                 7.8394,                0.08766,                0.71986,                 1.2602,              0.0008516,              0.0008516,              0.0008516
